pos,corr_resp,random,seq,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,random,,0,0,0,0,46,1,185,3,,,,,474.3954674000852,475.3956931999419,475.3956931999419,475.3956931999419,475.3956931999419,475.3956931999419,476.39600670011714,476.39600670011714,z,1,0.34763810015283525,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,46,2,186,2,,,,,476.7631032001227,477.7466591000557,477.7466591000557,477.7466591000557,477.7466591000557,477.76337860012427,478.7468368001282,478.7468368001282,c,1,0.3759826000314206,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,46,3,187,0,,,,,479.14709899993613,480.14760480006225,480.14760480006225,480.14760480006225,480.14760480006225,480.14760480006225,481.14801020012237,481.14801020012237,x,1,0.3452258000615984,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,47,0,188,3,,,,,481.5148062000517,482.51529309991747,482.51529309991747,482.51529309991747,482.51529309991747,482.51529309991747,483.5155336000025,483.5155336000025,z,1,0.37873589992523193,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,47,1,189,1,,,,,483.9156231000088,484.8993804999627,484.8993804999627,484.8993804999627,484.8993804999627,484.9163136999123,485.89953080005944,485.89953080005944,v,1,0.34103269991464913,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,47,2,190,2,,,,,486.2666986999102,487.2668455000967,487.2668455000967,487.2668455000967,487.2668455000967,487.2668455000967,488.2672413000837,488.2672413000837,c,1,0.30893939989618957,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,47,3,191,0,,,,,488.6006229999475,489.60101899993606,489.60101899993606,489.60101899993606,489.60101899993606,489.60101899993606,490.60141819994897,490.60141819994897,x,1,0.3270917001646012,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,48,0,192,0,,,,,490.9516404001042,491.9521317000035,491.9521317000035,491.9521317000035,491.9521317000035,491.9521317000035,492.93602739996277,492.93602739996277,c,0,0.4513757999520749,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,48,1,193,1,,,,,493.4192071999423,494.40313140000217,494.40313140000217,494.40313140000217,494.40313140000217,494.41983800008893,495.40321679995395,495.40321679995395,v,1,0.46190010011196136,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,48,2,194,3,,,,,495.88685110001825,496.88715560012497,496.88715560012497,496.88715560012497,496.88715560012497,496.88715560012497,497.8875951000955,497.8875951000955,z,1,0.423685000045225,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,48,3,195,2,,,,,498.33768999995664,499.33811739995144,499.33811739995144,499.33811739995144,499.33811739995144,499.33811739995144,500.33847760013305,500.33847760013305,c,1,0.4353583001065999,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,49,0,196,1,,,,,500.8053119999822,501.78947790013626,501.78947790013626,501.78947790013626,501.78947790013626,501.80585170001723,502.78951169992797,502.78951169992797,v,1,0.48052099999040365,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
